Boundary,Protocol,Frame_Bytes,TCP_Payload_Bytes,Overhead_Bytes,Overhead_Ratio
Middleware <-> S7-1200 (OPC UA),OPC UA,125,71,54,0.432
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
Middleware <-> TM221 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
Middleware <-> TM221 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
Middleware <-> S7-1200 (OPC UA),OPC UA,150,96,54,0.36
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
Middleware <-> TM221 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
Middleware <-> TM221 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
Middleware <-> TM221 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
Middleware <-> TM221 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
Middleware <-> S7-1200 (OPC UA),OPC UA,128,74,54,0.421875
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,69,15,54,0.782608695652174
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,118,64,54,0.4576271186440678
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,107,53,54,0.5046728971962616
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,118,64,54,0.4576271186440678
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,107,53,54,0.5046728971962616
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,118,64,54,0.4576271186440678
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,107,53,54,0.5046728971962616
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,122,68,54,0.4426229508196721
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,107,53,54,0.5046728971962616
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,118,64,54,0.4576271186440678
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,107,53,54,0.5046728971962616
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,118,64,54,0.4576271186440678
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,107,53,54,0.5046728971962616
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,118,64,54,0.4576271186440678
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,107,53,54,0.5046728971962616
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,128,74,54,0.421875
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,108,54,54,0.5
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,130,76,54,0.4153846153846154
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,69,15,54,0.782608695652174
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,108,54,54,0.5
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,122,68,54,0.4426229508196721
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
Middleware <-> S7-1200 (OPC UA),OPC UA,210,156,54,0.2571428571428571
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,108,54,54,0.5
Middleware <-> S7-1200 (OPC UA),OPC UA,128,74,54,0.421875
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
Ignition SCADA <-> Middleware (OPC UA),OPC UA,259,205,54,0.2084942084942085
Ignition SCADA <-> Middleware (OPC UA),OPC UA,125,71,54,0.432
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,69,15,54,0.782608695652174
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
Middleware <-> TM221 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
Middleware <-> TM221 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
Middleware <-> TM221 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
Middleware <-> TM221 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
Middleware <-> TM221 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
Middleware <-> TM221 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,69,15,54,0.782608695652174
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,118,64,54,0.4576271186440678
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,107,53,54,0.5046728971962616
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,118,64,54,0.4576271186440678
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,107,53,54,0.5046728971962616
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,118,64,54,0.4576271186440678
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,107,53,54,0.5046728971962616
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,122,68,54,0.4426229508196721
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,107,53,54,0.5046728971962616
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,118,64,54,0.4576271186440678
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,107,53,54,0.5046728971962616
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,118,64,54,0.4576271186440678
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,107,53,54,0.5046728971962616
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,118,64,54,0.4576271186440678
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,107,53,54,0.5046728971962616
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,128,74,54,0.421875
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,108,54,54,0.5
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,130,76,54,0.4153846153846154
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,108,54,54,0.5
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,122,68,54,0.4426229508196721
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,108,54,54,0.5
Ignition SCADA <-> Middleware (OPC UA),OPC UA,303,249,54,0.1782178217821782
Ignition SCADA <-> Middleware (OPC UA),OPC UA,125,71,54,0.432
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,69,15,54,0.782608695652174
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
Middleware <-> S7-1200 (OPC UA),OPC UA,153,99,54,0.35294117647058826
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
Middleware <-> S7-1200 (OPC UA),OPC UA,125,71,54,0.432
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,69,15,54,0.782608695652174
Middleware <-> TM221 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
Middleware <-> TM221 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
Middleware <-> S7-1200 (OPC UA),OPC UA,150,96,54,0.36
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
Middleware <-> TM221 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
Middleware <-> TM221 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
Middleware <-> TM221 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
Middleware <-> TM221 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
Middleware <-> S7-1200 (OPC UA),OPC UA,128,74,54,0.421875
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,69,15,54,0.782608695652174
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
Ignition SCADA <-> Middleware (OPC UA),OPC UA,286,232,54,0.1888111888111888
Ignition SCADA <-> Middleware (OPC UA),OPC UA,125,71,54,0.432
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,118,64,54,0.4576271186440678
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,107,53,54,0.5046728971962616
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,118,64,54,0.4576271186440678
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,107,53,54,0.5046728971962616
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,118,64,54,0.4576271186440678
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,107,53,54,0.5046728971962616
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,122,68,54,0.4426229508196721
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,107,53,54,0.5046728971962616
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,118,64,54,0.4576271186440678
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,107,53,54,0.5046728971962616
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,118,64,54,0.4576271186440678
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,65,11,54,0.8307692307692308
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,107,53,54,0.5046728971962616
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,118,64,54,0.4576271186440678
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,107,53,54,0.5046728971962616
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,128,74,54,0.421875
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,108,54,54,0.5
S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,66,12,54,0.8181818181818182
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,130,76,54,0.4153846153846154
